review_id,review,positive_first,use_negative_dot,use_positive_dot,positive_len_1,positive_len_2,negative_len_1,negative_len_2,positive_negative_len_prop_1,positive_negative_len_prop_2,use_extreme_positive_words_1,use_extreme_positive_words_2,use_extreme_positive_words_3,use_extreme_negative_words_1,use_extreme_negative_words_2,use_extreme_negative_words_3,topic_price_positive,topic_facilities_positive,topic_design_positive,topic_location_positive,topic_room_positive,topic_staff_positive,topic_food_positive,topic_metro_positive,topic_bathroom_positive,topic_view_positive,topic_price_negative,topic_staff_negative,topic_bathroom_negative,topic_room_negative,topic_food_negative,topic_location_negative,topic_facilities_negative,topic_air_negative,use_negative_nothing_to_dislike,use_positive_nothing,detailed,list,positive_buttom_line_recommendation,negative_buttom_line_recommendation
10,"Positive: The kindness of the personal of the hotel. 
Negative: Very small room, hotel old decoration and carpets no restauranta nither bar ",1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
11,"Positive: Great location for the city centre, friendly helpful staff, cleanliness, comfort, great free snacks in the afternoon. Met all our needs. Negative: Nothing to dislike.",1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12,"Negative: Room very small. I booked through booking.com because you don't pay at time of booking and was disappointed when I went to pay by cash that the money had been paid by my visa  Positive: Room was very French. Little extras in the room for every Occassion 
",0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
13,Negative: Frequent vibration from the underground metro even on the higher floors. Positive: Excellent location. Friendly and helpful staff. Free hotel snacks 2pm to midnight.,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,"Positive: Room was very French. Little extras in the room for every Occassion 
Negative: Room very small. I booked through booking.com because you don't pay at time of booking and was disappointed when I went to pay by cash that the money had been paid by my visa ",1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
15,Positive: Excellent location. Friendly and helpful staff. Free hotel snacks 2pm to midnight. Negative: Frequent vibration from the underground metro even on the higher floors.,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"Negative: WE could have had more teabags we requested more, which staff always bought only to be removed by the room cleaning staff again each day. Positive: Staff were quirky interesting and very good. Decor and design innovative and beautiful
",0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,"Positive: Staff were quirky interesting and very good. Decor and design innovative and beautiful
Negative: WE could have had more teabags we requested more which staff always bought only to be removed by the room cleaning staff again each day",1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,"Negative: No complaints at all. Positive: The hotel itself is fantastic, the rooms large and comfortable, the location very convenient. However the best thing about it is the staff. I don't think you'll find such helpful friendly and engaging staff anywhere else 
",0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,"Positive: The hotel itself is fantastic the rooms large and comfortable the location very convenient. However the best thing about it is the staff. I don't think you'll find such helpful friendly and engaging staff anywhere else 
Negative: No complaints at all ",1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,"Negative: Positive: Hotel is amazing, location is great, very clean and spacious rooms. Great library too in case you need to wait for your airport transfer, team is very helpful and friendly. Great place to stay
",0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,"Positive: Hotel is amazing location is great very clean and spacious rooms. Great library too in case you need to wait for your airport transfer team is very helpful and friendly. Great place to stay
Negative:",1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,"Negative: no problem for me but maybe a problem for elderly guests as there is no elevator and the steps are very narrow. Positive: Gorgeous boutique small hotel, beautifully decorated, spacious bedroom living room quiet and very convenient location overlooking a canal, and importantly extremely helpful staff 
",0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,"Positive: Gorgeous boutique small hotel beautifully decorated spacious bedroom living room quiet and very convenient location overlooking a canal and importantly extremely helpful staff 
Negative: no problem for me but maybe a problem for elderly guests as there is no elevator and the steps are very narrow",1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,"Negative: we were with another couple and they had a suite, we had a normal room we found it really weird to pay the same price for such different rooms, also the heating next to the bed made us a bit dry in the morning. Positive: perfectly located hotel for museum and antiques, amazing team, the whole thing is almost perfect
",0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,"Positive: perfectly located hotel for museum and antiques amazing team the whole thing is almost perfect
Negative: we were with another couple and they had a suite we had a normal room we found it really weird to pay the same price for such different rooms also the heating next to the bed made us a bit dry in the morning",1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,"Negative: Staff unfriendly. It must be a management guideline because it applies to everyone. Act like museum guards caretakers of the property rather than as service staff. Behave as if they are afraid guests would steal silver spoons follow you around in public areas etc. Creates strange atmosphere. Weird door policy guests are not allowed to take keys must ring and stand on the street for sometimes a minute before door is opened no remote opening. It is not a hotel rather a B. B.  Positive: Property is fantastic. Very beautiful tasteful an insipration for everyone who loves antiques beautiful interiors and design 
",0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
27,"Positive: Property is fantastic. Very beautiful tasteful an insipration for everyone who loves antiques beautiful interiors and design 
Negative: Staff unfriendly. It must be a management guideline because it applies to everyone. Act like museum guards caretakers of the property rather than as service staff. Behave as if they are afraid guests would steal silver spoons follow you around in public areas etc. Creates strange atmosphere. Weird door policy guests are not allowed to take keys must ring and stand on the street for sometimes a minute before door is opened no remote opening. It is not a hotel rather a. B. B ",1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
28,"Negative: This may be booking com's issue more than the hotel however when I input our family and location for the search the price that appeared for this hotel was only for 2 people and even though our child would have been free at most other places this hotel charged an additional 75 EUR per night. Therefore the original comparisons were incorrect. When I tried to cancel our reservation based on this it was non refundable and no exception was made. The AC is very loud and does not cool down the room very well. The staff opened our windows for us the first day without putting in a mosquito net and we received over a dozen mosquito bites that night. Positive: Great location. Stylish hotel and rooms nice breakfast 
",0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
29,"Positive: Great location. Stylish hotel and rooms, nice breakfast 
Negative: This may be booking com's issue more than the hotel however when I input our family and location for the search the price that appeared for this hotel was only for 2 people and even though our child would have been free at most other places this hotel charged an additional 75. EUR per night. Therefore the original comparisons were incorrect. When. I tried to cancel our reservation based on this it was non refundable and no exception was made. The. AC is very loud and does not cool down the room very well. The staff opened our windows for us the first day without putting in a mosquito net and we received over a dozen mosquito bites that night ",1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
30,"Negative: The staff was very bad and had attitude especially the manager. Bathroom was very poor and there was no water pressure. Positive:
",0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31,"Positive:
Negative: The staff was very bad and had attitude especially the manager. Bathroom was very poor and there was no water pressure ",1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
32,"Negative: Aircon was noisy and not very effective. Positive: Stylish boutique hotel in great location with very friendly staff
",0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,"Positive: Stylish boutique hotel in great location with very friendly staff
Negative: Aircon was noisy and not very effective",1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,"Negative: Positive: Beautiful and tasty decoration vintage cozy and comfortable was treated like at home. Thanks a lot for the stuffs too 
",0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Positive: Beautiful and tasty decoration vintage cozy and comfortable was treated like at home. Thanks a lot for the stuffs too 
Negative:",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Negative: The area didn't have a ton of late night action in terms of options and places to eat drink but the hotel was able to come through for us and let us buy some wine that we could enjoy on our terrace  Positive: We had a cute little outdoor space which made us feel like the room wasn't so small. And the entire hotel had only 28 rooms so it felt very quiet and quaint. Perfectly romantic for our 4 night getaway. Seems like we got a great deal and perfect experience for what we paid for compared to other similar hotels 
",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
37,Negative: Such a small thing but no international razor plug in bathroom. Positive: Location excellent. Staff extremely helpful.,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,"Positive: We had a cute little outdoor space which made us feel like the room wasn't so small. And the entire hotel had only 28 rooms so it felt very quiet and quaint. Perfectly romantic for our 4 night getaway. Seems like we got a great deal and perfect experience for what we paid for compared to other similar hotels 
Negative: The area didn't have a ton of late night action in terms of options and places to eat drink but the hotel was able to come through for us and let us buy some wine that we could enjoy on our terrace ",1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
39,Positive: Location excellent. Staff extremely helpful. Negative: Such a small thing but no international razor plug in bathroom.,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,"Negative: Positive: Nothing was too much trouble for the staff to do or organise for you at Hotel Dupond Smith. The location of the Hotel was excellent and it ticked every box for a gorgeous quaint. Parisienne stay 
",0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,"Positive: Nothing was too much trouble for the staff to do or organise for you at. Hotel. Dupond. Smith. The location of the. Hotel was excellent and it ticked every box for a gorgeous quaint. Parisienne stay 
Negative:",1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,"Negative: Positive: The staff was extremely nice and attentive and room was super comfy. I also liked the small details such as lemon water plenty of coffee room slippers etc 
",0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Positive: The staff was extremely nice and attentive and room was super comfy. I also liked the small details such as lemon water plenty of coffee room slippers etc 
Negative:",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Negative: Positive: The staff was extremely helpful and friendly. With many useful suggestions regarding the area and places to eat. The room is tastefully decorated and very functional also quiet and relaxing. We loved staying here and will return asap 
",0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,"Positive: The staff was extremely helpful and friendly. With many useful suggestions regarding the area and places to eat. The room is tastefully decorated and very functional also quiet and relaxing. We loved staying here and will return asap 
Negative:",1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,"Negative: Rooms are small by Australian standards but not by Parisian. Positive: extremely helpful staff, great location, clean. We were given a very lovely upgrade 
",0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,"Positive: extremely helpful staff great location clean. We were given a very lovely upgrade 
Negative: Rooms are small by. Australian standards but not by. Parisian ",1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,"Negative: Positive: Very pleasant staff, great location, good value for money, very stylish and cosy. Perfect small terrace in the room. Definitely will turn back 
",0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
49,"Positive: Very pleasant staff great location good value for money very stylish and cosy. Perfect small terrace in the room. Definitely will turn back 
Negative:",1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
50,"Negative: Positive: Got an upgrade to suite, always nice to come back to this fantastic boutique hotel right in the middle of Marais 
",0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,"Positive: Got an upgrade to suite always nice to come back to this fantastic boutique hotel right in the middle of. Marais 
Negative:",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,"Negative: Positive: Great hotel, wonderful staff, would recommend to everybody. And will certainly go back again unable to fault this hotel 
",0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,"Positive: Great hotel wonderful staff would recommend to everybody. And will certainly go back again unable to fault this hotel 
Negative:",1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,"Negative: We had our belongings stolen from the Hotel and we were charged a hundred over what was quoted on booking and to what my receipt was. The staff isn't the friendliest and the bar isn't fun. Very dated and boring. Positive: Location and free breakfast was amazing 
",0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
55,"Positive: Location and free breakfast was amazing 
Negative: We had our belongings stolen from the. Hotel and we were charged a hundred over what was quoted on booking and to what my receipt was. The staff isn't the friendliest and the bar isn't fun. Very dated and boring ",1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
56,"Negative: Rooms very small, no balcony Positive: Friendly atmosphere close to metro station fairly close to the center of the city, good breakfast, comfortable beds, clean friendly and helpful staff
",0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,Negative: Not a single thing. Positive: Extremely helpful and friendly staff hotel in great shape and location. Would def reccomend and go back again. They deserve all the credit they get.,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
58,"Positive: Friendly atmosphere close to metro station fairly close to the center of the city, good breakfast, comfortable beds, clean friendly and helpful staff
Negative: Rooms very small, no balcony",1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
59,Positive: Extremely helpful and friendly staff hotel in great shape and location. Would def reccomend and go back again. They deserve all the credit they get. Negative: Not a single thing.,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
60,"Negative: The king mattress we had was firmer than we would like and we typically purchase mattresses rated as firm rather than plush. Positive: Staff was exceptionally accommodating. The complimentary snacks in the afternoons and evenings are of excellent quality. Buffet breakfast fee was delicious and worth the expense. The location was also very convenient to the Underground Victoria Station 2 blocks. We happened to have stayed at the Ritz Hotel in London during our trip and think the overall facilities and services included at Hotel 41 make it the better choice 
",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
61,"Positive: Staff was exceptionally accommodating. The complimentary snacks in the afternoons and evenings are of excellent quality. Buffet breakfast fee was delicious and worth the expense. The location was also very convenient to the Underground Victoria Station 2 blocks. We happened to have stayed at the Ritz Hotel in London during our trip and think the overall facilities and services included at Hotel 41 make it the better choice 
Negative: The king mattress we had was firmer than we would like and we typically purchase mattresses rated as firm rather than plush ",1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
62,"Negative: Liked everything. Positive: Outstanding staff who provided superior service who attended to and even anticipated our every need
",0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,"Positive: Outstanding staff who provided superior service who attended to and even anticipated our every need
Negative: Liked everything",1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,"Negative: Breakfast is rather pricey but then it is everywhere in Paris  Positive: Beautiful hotel positioned right in the centre of Paris and only a short walk to the metro. Lovely lounge area with complimentary coffee. Friendly and helpful staff 
",0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
65,Negative: . Positive: Hotel staff was very friendly and helpful. Excellent location. Shopping and Metro stations all within easy walking distance. The snacks are an amazing selection salads sandwiches juices coffees desserts etc all for no extra charge.,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Positive: Beautiful hotel positioned right in the centre of Paris and only a short walk to the metro. Lovely lounge area with complimentary coffee. Friendly and helpful staff 
Negative: Breakfast is rather pricey but then it is everywhere in Paris ",1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
67,Positive: Hotel staff was very friendly and helpful. Excellent location. Shopping and Metro stations all within easy walking distance. The snacks are an amazing selection salads sandwiches juices coffees desserts etc all for no extra charge. Negative: .,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Negative: Absolutely nothing, it was excellent Positive: Wonderful boutique hotel, very kind staff, great location couldn't ask for more. I will certainly be back and would recommend the hotel to anyone
",0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
69,Negative: . Positive: Excellent hotel at the city center. Hotel is very new and modern. Staff is professional and helpful. Location is perfect at the city center.,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,"Positive: Wonderful boutique hotel, very kind staff, great location couldn't ask for more. I will certainly be back and would recommend the hotel to anyone
Negative: Absolutely nothing, it was excellent",1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
71,Positive: Excellent hotel at the city center. Hotel is very new and modern. Staff is professional and helpful. Location is perfect at the city center. Negative: .,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,"Negative: Not a problem for us but you'd better be able to climb narrow steps. Positive: The building is beautiful the rooms are spacious and the location is great. The staff was very attentive and helpful 
",0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,"Positive: The building is beautiful the rooms are spacious and the location is great. The staff was very attentive and helpful 
Negative: Not a problem for us but you'd better be able to climb narrow steps ",1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,"Negative: our room was a good size for two alas the bathroom was not big enough for one there wasn't enough room to towel yourself dry nor enough room for my toiletries let alone my husbands. I had also booked no feathers. My daughter had feathers. Very noisy good job. I took earplugs should be offered by hotel  Positive: location excellent. Breakfast excellent and good value. Staff very friendly and helpful. Lovely building. Very close to the Portrait Gallery restaurant Theatre Royal Drury Lane and Wyndhams Theatre. What a weekend 
",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
75,Negative: We supposed to have SPA included in the price. Thats why we have choosen that offer with terrace so we can have SPA access. When we arrived to the hotel we have been told that the offer have changed so we need to pay each time when we want to enter spa for the price which we have payed for our stay conditions were not to good. Positive: Last floor with amazing views. ,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
